id,implementation_status,implementation_reason,implementation_type,code_module,required_inputs,verification_status,implementation_source_basis,pending_blocker_type,专业类别,中文名称,英文名称,来源/指南,来源链接
CALC-0016,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.hemodynamics_more,oxygen_consumption_ml_min; arterial_oxygen_content_ml_dl; venous_oxygen_content_ml_dl,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
CALC-0017,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.hemodynamics_more,height_cm; weight_kg,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
CALC-0018,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.general,height_cm; sex,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,理想体重,Ideal Body Weight,CDC BMI calculators,https://www.cdc.gov/bmi/
CALC-0019,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.critical_care_scores,acute_physiology_score; age_years; chronic_health_points,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,APACHE II评分,Acute Physiology and Chronic Health Evaluation II,MDCalc calculator library,https://www.mdcalc.com/
CALC-0020,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiology_more_scores,history; ecg; age_years; risk_factors_count; known_atherosclerotic_disease; troponin_multiple_of_normal_limit,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,HEART胸痛评分,HEART Score,MDCalc calculator library,https://www.mdcalc.com/
CALC-0021,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.critical_care_scores,respiratory_rate; oxygen_saturation_percent; supplemental_oxygen; temperature_c; systolic_bp; heart_rate; consciousness,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,NEWS2早期预警评分,National Early Warning Score 2,Royal College of Physicians NEWS2,https://www.rcp.ac.uk/improving-care/resources/national-early-warning-score-news-2/
CALC-0022,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.emergency_rules_more,midline_cervical_tenderness; focal_neurologic_deficit; altered_level_of_alertness; intoxication; distracting_injury,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,NEXUS颈椎影像规则,NEXUS C-Spine Criteria,MDCalc calculator library,https://www.mdcalc.com/
CALC-0023,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.neuro_emergency_scores,age_years; heart_rate; oxygen_saturation_percent; unilateral_leg_swelling; hemoptysis; recent_surgery_or_trauma; prior_dvt_pe; hormone_use,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,PERC肺栓塞排除规则,Pulmonary Embolism Rule-out Criteria,MDCalc calculator library,https://www.mdcalc.com/
CALC-0024,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.emergency_rules_more,temperature_c; heart_rate; respiratory_rate; paco2_mm_hg; wbc_10e9_l; bands_percent,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,SIRS标准,Systemic Inflammatory Response Syndrome Criteria,MDCalc calculator library,https://www.mdcalc.com/
CALC-0025,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.emergency_rules_more,heart_rate; systolic_bp,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,休克指数,Shock Index,Merck Manual clinical calculators,https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators
CALC-0026,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.emergency_rules_more,gcs_less_than_15_at_2_hours; suspected_open_or_depressed_skull_fracture; signs_basal_skull_fracture; vomiting_two_or_more; age_years; amnesia_before_impact_minutes; dangerous_mechanism,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,加拿大头颅CT规则,Canadian CT Head Rule,MDCalc calculator library,https://www.mdcalc.com/
CALC-0027,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,age_years; sex; chronic_pulmonary_disease; extracardiac_arteriopathy; neurologic_dysfunction; previous_cardiac_surgery; serum_creatinine_gt_200_umol_l; active_endocarditis; critical_preoperative_state; unstable_angina_iv_nitrates; left_ventricular_function; recent_mi_90_days; pulmonary_hypertension; emergency_operation; other_than_isolated_cabg; thoracic_aorta_surgery; postinfarct_septal_rupture,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,EuroSCORE评分心脏手术风险评估（附加版）,Additive EuroSCORE for Cardiac Operative Risk,MDCalc calculator library,https://www.mdcalc.com/
CALC-0028,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiology_more_scores,concordant_st_elevation_mm; concordant_st_depression_v1_v3_mm; discordant_st_elevation_mm; preceding_s_wave_depth_mm,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,MILBBB胸痛鉴别,Modified Sgarbossa Criteria for MI in LBBB,MDCalc calculator library,https://www.mdcalc.com/
CALC-0029,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,age_years; race_black; sex; prior_stroke; systolic_bp; weight_kg; inr; prothrombin_time_seconds; tpa_instead_other_thrombolytic,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,MI溶栓治疗颅内出血风险,Intracranial Hemorrhage Risk with Thrombolytic Therapy for MI,Intracranial Bleeding Risk from Thrombolytic Therapy of MI,https://ebmcalc.com/IntracranialBleedingRiskThrombolytics.htm
CALC-0030,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,cardiogenic_shock; chf_class_iii_iv; left_main_ptca; tachycardia; chronic_renal_insufficiency; age_years; lesion_type_b2_or_c; acute_mi; unstable_angina; stent_placed,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,PTCA死亡率预测,PTCA Mortality Risk Prediction,MDCalc calculator library,https://www.mdcalc.com/
CALC-0031,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiology,qt_seconds; heart_rate,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,QT间期校正 (EKG),Corrected QT Interval,MDCalc calculator library,https://www.mdcalc.com/
CALC-0032,merged_alias,Exact duplicate merged into canonical calculator CALC-0031.,compatibility_alias,CALC-0031,qt_seconds; heart_rate,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,QT间期校正 (EKG),Corrected QT Interval,MDCalc calculator library,https://www.mdcalc.com/
CALC-0033,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiology_more_scores,voltage_criteria; st_t_abnormality_without_digitalis; st_t_abnormality_with_digitalis; left_atrial_enlargement; left_axis_deviation; qrs_duration_ms; intrinsicoid_deflection_ms,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,Romhilt-Estes诊断左心室肥厚的标准,Romhilt-Estes Criteria for Left Ventricular Hypertrophy,MDCalc calculator library,https://www.mdcalc.com/
CALC-0034,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,age_years; diabetes_hypertension_or_angina; systolic_bp; heart_rate; killip_class_ii_to_iv; weight_kg; anterior_st_elevation_or_lbbb; time_to_treatment_hours,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,ST段抬高型心肌梗死溶栓（TIMI）评分,TIMI Risk Score for STEMI,MDCalc calculator library,https://www.mdcalc.com/
CALC-0035,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,age_years; prior_cabg; aspirin_use; beta_blocker_use; st_depression,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,不稳定型心绞痛结局预测,Unstable Angina Outcome Prediction,MDCalc calculator library,https://www.mdcalc.com/
CALC-0036,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,age_years; three_or_more_cad_risk_factors; known_cad_stenosis_50_percent; aspirin_past_7_days; severe_angina_24h; st_deviation; positive_cardiac_marker,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,不稳定型心绞痛非ST段抬高型心肌梗死溶栓（TIMI）评分,TIMI Risk Score for UA/NSTEMI,MDCalc calculator library,https://www.mdcalc.com/
CALC-0037,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiovascular_scores,hypertension; abnormal_renal_function; abnormal_liver_function; stroke_history; bleeding_history_or_predisposition; labile_inr; age_years; drugs_predisposing_bleeding; alcohol_use,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,与HAS-BLED出血风险评分对应的临床特点,HAS-BLED Bleeding Risk Score,MDCalc calculator library,https://www.mdcalc.com/
CALC-0038,merged_alias,Exact duplicate merged into canonical calculator CALC-0005.,compatibility_alias,CALC-0005,height_cm; weight_kg,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,体表面积（Du Bois 法）,Body Surface Area by Du Bois Formula,MDCalc calculator library,https://www.mdcalc.com/
CALC-0039,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.general,weight_kg; height_cm,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,体质指数（凯特勒指数）,Body Mass Index,CDC BMI calculators,https://www.cdc.gov/bmi/
CALC-0040,merged_alias,Exact duplicate merged into canonical calculator CALC-0008.,compatibility_alias,CALC-0008,systolic_pressure_mm_hg; diastolic_pressure_mm_hg,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,平均血管压力（体循环或肺循环）,Mean Arterial or Vascular Pressure,MDCalc calculator library,https://www.mdcalc.com/
CALC-0041,merged_alias,Exact duplicate merged into canonical calculator CALC-0010.,compatibility_alias,CALC-0010,hemoglobin_g_dl; oxygen_saturation_percent; pao2_mm_hg,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,心输出量,Cardiac Output,MDCalc calculator library,https://www.mdcalc.com/
CALC-0042,merged_alias,Exact duplicate merged into canonical calculator CALC-0011.,compatibility_alias,CALC-0011,hemoglobin_g_dl; venous_oxygen_saturation_percent; pvo2_mm_hg,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,心输出量,Cardiac Output,MDCalc calculator library,https://www.mdcalc.com/
CALC-0043,merged_alias,Exact duplicate merged into canonical calculator CALC-0012.,compatibility_alias,CALC-0012,oxygen_consumption_ml_min; arterial_oxygen_content_ml_dl; venous_oxygen_content_ml_dl,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,心输出量,Cardiac Output,MDCalc calculator library,https://www.mdcalc.com/
CALC-0044,merged_alias,Exact duplicate merged into canonical calculator CALC-0013.,compatibility_alias,CALC-0013,cardiac_output_l_min; bsa_m2,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
CALC-0045,merged_alias,Exact duplicate merged into canonical calculator CALC-0014.,compatibility_alias,CALC-0014,cardiac_output_l_min; heart_rate_bpm,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
CALC-0046,merged_alias,Exact duplicate merged into canonical calculator CALC-0015.,compatibility_alias,CALC-0015,stroke_volume_ml; bsa_m2,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
CALC-0047,merged_alias,Exact duplicate merged into canonical calculator CALC-0016.,compatibility_alias,CALC-0016,oxygen_consumption_ml_min; arterial_oxygen_content_ml_dl; venous_oxygen_content_ml_dl,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
CALC-0048,merged_alias,Exact duplicate merged into canonical calculator CALC-0017.,compatibility_alias,CALC-0017,height_cm; weight_kg,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,心血管医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
CALC-0049,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiovascular_scores,congestive_heart_failure; hypertension; age_years; diabetes; stroke_tia_thromboembolism; vascular_disease; sex,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,房颤中风危险的CHA（2）DS（2）-VASc评分,CHA2DS2-VASc Score for Atrial Fibrillation Stroke Risk,MDCalc calculator library,https://www.mdcalc.com/
CALC-0050,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.vte_scores,active_cancer; paralysis_paresis_or_recent_cast; recent_bedridden_or_major_surgery; localized_tenderness; entire_leg_swollen; calf_swelling_3cm; pitting_edema; collateral_superficial_veins; previous_dvt; alternative_diagnosis_at_least_as_likely,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,深静脉血栓形成概率：Wells评分系统,Wells Score for Deep Vein Thrombosis,MDCalc calculator library,https://www.mdcalc.com/
CALC-0051,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.vte_scores,clinical_signs_dvt; pe_most_likely; heart_rate; immobilization_or_surgery; previous_dvt_pe; hemoptysis; malignancy,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,肺栓塞可能性：Wells评分系统,Wells Score for Pulmonary Embolism,MDCalc calculator library,https://www.mdcalc.com/
CALC-0052,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,no_prior_angioplasty; pain_duration_minutes; st_deviation; recent_angina,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,非Q波心肌梗死预测,Non-Q-Wave Myocardial Infarction Prediction,MDCalc calculator library,https://www.mdcalc.com/
CALC-0053,pending_formula_or_rule_implementation,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",markdown_or_data_table_until_source_complete,,"complete coefficients, transformations, caps, and validation examples",metadata_self_check_only,external source metadata is present but executable formula/rule still requires audit,model_coefficients_needed,心血管医学,ASCVD 10年风险评估,ASCVD 10-Year Risk Estimator,ACC ASCVD Risk Estimator Plus,https://tools.acc.org/ascvd-risk-estimator-plus/
CALC-0054,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,age_years; current_smoker; diabetes; mi_at_presentation; prior_pci_or_mi; paclitaxel_eluting_stent; stent_diameter_less_3mm; chf_or_lvef_less_30; vein_graft_stent,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,DAPT评分,DAPT Score,MDCalc calculator library,https://www.mdcalc.com/
CALC-0055,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,exercise_time_minutes; st_deviation_mm; angina_index,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,Duke跑台评分,Duke Treadmill Score,MDCalc calculator library,https://www.mdcalc.com/
CALC-0056,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,age_years; heart_rate; systolic_bp; creatinine_mg_dl; killip_class; cardiac_arrest_at_admission; st_segment_deviation; elevated_cardiac_markers,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,GRACE急性冠脉综合征风险评分,GRACE ACS Risk Score,MDCalc calculator library,https://www.mdcalc.com/
CALC-0057,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.cardiac_risk_scores,age_years; hemoglobin_g_dl; sex; bleeding_history; egfr_ml_min_1_73m2; antiplatelet_therapy,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,ORBIT房颤出血风险评分,ORBIT Bleeding Risk Score,MDCalc calculator library,https://www.mdcalc.com/
CALC-0058,pending_formula_or_rule_implementation,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",markdown_or_data_table_until_source_complete,,"complete coefficients, transformations, caps, and validation examples",metadata_self_check_only,external source metadata is present but executable formula/rule still requires audit,model_coefficients_needed,心血管医学,PREVENT心血管风险方程,AHA PREVENT Equations,AHA PREVENT calculator,https://professional.heart.org/en/guidelines-and-statements/prevent-calculator
CALC-0059,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.perioperative_more,high_risk_surgery; ischemic_heart_disease; congestive_heart_failure; cerebrovascular_disease; insulin_treated_diabetes; creatinine_gt_2_mg_dl,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,RCRI围手术期心脏风险指数,Revised Cardiac Risk Index,MDCalc calculator library,https://www.mdcalc.com/
CALC-0060,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.basic_formulas_more,end_diastolic_volume_ml; end_systolic_volume_ml,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,心血管医学,左室射血分数简化计算,Left Ventricular Ejection Fraction,Merck Manual clinical calculators,https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators
CALC-0061,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.respiratory_acidbase,fio2; barometric_pressure_mm_hg; water_vapor_pressure_mm_hg; paco2_mm_hg; pao2_mm_hg,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,A-a 梯度,Alveolar-Arterial Oxygen Gradient,MDCalc calculator library,https://www.mdcalc.com/
CALC-0062,merged_alias,Exact duplicate merged into canonical calculator CALC-0061.,compatibility_alias,CALC-0061,fio2; barometric_pressure_mm_hg; water_vapor_pressure_mm_hg; paco2_mm_hg; pao2_mm_hg,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,呼吸与睡眠医学,A-a 梯度,Alveolar-Arterial Oxygen Gradient,MDCalc calculator library,https://www.mdcalc.com/
CALC-0063,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.behavioral_scores,items,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,EPWORTH睡眠量表（ESS）,Epworth Sleepiness Scale,MDCalc calculator library,https://www.mdcalc.com/
CALC-0064,merged_alias,Exact duplicate merged into canonical calculator CALC-0039.,compatibility_alias,CALC-0039,weight_kg; height_cm,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,呼吸与睡眠医学,体质指数（凯特勒指数）,Body Mass Index,CDC BMI calculators,https://www.cdc.gov/bmi/
CALC-0065,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.respiratory_measurements_more,sex; age_years; height_cm,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,呼气峰流速预计值,Predicted Peak Expiratory Flow,MDCalc calculator library,https://www.mdcalc.com/
CALC-0066,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.misc_formula_more,log_odds,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,在吸烟者和既往吸烟者（6年）中患肺癌的风险评估,Six-Year Lung Cancer Risk in Current and Former Smokers,MDCalc calculator library,https://www.mdcalc.com/
CALC-0067,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.source_backed_batch,age_years; race_ethnicity_plco; education_level_1_to_6; bmi; has_copd; history_personal_cancer; history_family_lung_cancer; current_smoker; smoking_intensity_cigarettes_day; smoking_duration_years; quit_time_years,source_derived_tests_and_registry_smoke,original publication coefficients and transformations represented in inventory metadata,,呼吸与睡眠医学,在吸烟者和既往吸烟者（6年）中患肺癌的风险评估,PLCOm2012 Six-Year Lung Cancer Risk,Selection Criteria for Lung-Cancer Screening,https://europepmc.org/articles/PMC3929969
CALC-0068,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.respiratory_measurements_more,age_years; height_m,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,女孩MultiCalc PFT预测值,Female Pediatric Predicted Pulmonary Function Values,MDCalc calculator library,https://www.mdcalc.com/
CALC-0069,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.respiratory_measurements_more,age_years; height_m,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,女孩MultiCalc PFT预测值,Female Pediatric Predicted Pulmonary Function Values,MDCalc calculator library,https://www.mdcalc.com/
CALC-0070,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.respiratory_scores,age_years; sex; nursing_home_resident; neoplastic_disease; liver_disease; congestive_heart_failure; cerebrovascular_disease; renal_disease; altered_mental_status; respiratory_rate; systolic_bp; temperature_c; pulse; arterial_ph; bun_mg_dl; sodium_mEq_l; glucose_mg_dl; hematocrit_percent; pleural_effusion,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,成人社区获得性肺炎严重程度评分,Pneumonia Severity Index,MDCalc calculator library,https://www.mdcalc.com/
CALC-0071,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.respiratory_measurements_more,lung_diameter_cm; hemithorax_diameter_cm,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,气胸的塌陷程度,Estimated Pneumothorax Size,MDCalc calculator library,https://www.mdcalc.com/
CALC-0072,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.respiratory_measurements_more,age_years; height_m,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,男孩MultiCalc PFT预测值,Male Pediatric Predicted Pulmonary Function Values,MDCalc calculator library,https://www.mdcalc.com/
CALC-0073,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.respiratory_measurements_more,age_years; height_m,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,男孩MultiCalc PFT预测值,Male Pediatric Predicted Pulmonary Function Values,MDCalc calculator library,https://www.mdcalc.com/
CALC-0074,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.respiratory_measurements_more,height_cm; age_years; race_factor,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,呼吸与睡眠医学,男性MultiCalc校正PFT,Male Adjusted Pulmonary Function Test Values,MDCalc calculator library,https://www.mdcalc.com/
