id,专业类别,中文名称,英文名称,来源/指南,来源链接,formula_feasibility,reason_if_not_directly_implemented,next_action,registry_status,pending_blocker_type,data_needed_for_code,suggested_implementation_artifact
CALC-0396,耳鼻喉、头颈与听力言语,鼻阻塞症状评分,"Nasal Obstruction Symptom Evaluation, NOSE",NOSE Scale,https://www.entnet.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0404,耳鼻喉、头颈与听力言语,耳鸣功能指数,"Tinnitus Functional Index, TFI",Tinnitus Functional Index,https://www.ata.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0415,皮肤科,医师总体评估,Investigator or Physician Global Assessment,AAD clinical guidelines,https://www.aad.org/member/clinical-quality/guidelines,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0423,风湿免疫,ANCA相关血管炎活动评分,"Birmingham Vasculitis Activity Score, BVAS",EULAR recommendations,https://www.eular.org/recommendations_home,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0424,风湿免疫,狼疮BILAG疾病活动评分,"British Isles Lupus Assessment Group Index, BILAG",BILAG index,https://www.rheumatology.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0442,骨科、运动医学与康复,髋关节损伤和骨关节炎结局评分,"Hip disability and Osteoarthritis Outcome Score, HOOS",HOOS,https://www.koos.nu/,limited_by_questionnaire_rights,Can implement scoring from pre-coded item scores if scoring rules are public; should not reproduce protected item text or copyrighted instruments without license.,score only coded item values; do not include protected questionnaire text,pending_formula_or_rule_implementation,rights_limited_questionnaire,permission-safe scored inputs or licensing clearance,markdown_or_data_table_until_source_complete
CALC-0443,骨科、运动医学与康复,膝关节损伤和骨关节炎结局评分,"Knee injury and Osteoarthritis Outcome Score, KOOS",KOOS,https://www.koos.nu/,limited_by_questionnaire_rights,Can implement scoring from pre-coded item scores if scoring rules are public; should not reproduce protected item text or copyrighted instruments without license.,score only coded item values; do not include protected questionnaire text,pending_formula_or_rule_implementation,rights_limited_questionnaire,permission-safe scored inputs or licensing clearance,markdown_or_data_table_until_source_complete
CALC-0444,骨科、运动医学与康复,WOMAC骨关节炎指数,Western Ontario and McMaster Universities Osteoarthritis Index,WOMAC Osteoarthritis Index,https://www.womac.com/,limited_by_questionnaire_rights,Can implement scoring from pre-coded item scores if scoring rules are public; should not reproduce protected item text or copyrighted instruments without license.,score only coded item values; do not include protected questionnaire text,pending_formula_or_rule_implementation,rights_limited_questionnaire,permission-safe scored inputs or licensing clearance,markdown_or_data_table_until_source_complete
CALC-0445,骨科、运动医学与康复,膝关节协会评分,"Knee Society Score, KSS",Knee Society Score,https://kneesociety.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0446,骨科、运动医学与康复,IKDC主观膝关节评分,International Knee Documentation Committee Subjective Knee Form,IKDC forms,https://www.sportsmed.org/research-patient-care/outcomes-research/ikdc,limited_by_questionnaire_rights,Can implement scoring from pre-coded item scores if scoring rules are public; should not reproduce protected item text or copyrighted instruments without license.,score only coded item values; do not include protected questionnaire text,pending_formula_or_rule_implementation,rights_limited_questionnaire,permission-safe scored inputs or licensing clearance,markdown_or_data_table_until_source_complete
CALC-0449,骨科、运动医学与康复,ASES肩肘外科医师评分,American Shoulder and Elbow Surgeons Score,ASES outcome measures,https://www.ases-assn.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0458,肿瘤学、放疗与姑息医学,NCI不良事件通用术语标准,"Common Terminology Criteria for Adverse Events, CTCAE",NCI CTCAE,https://ctep.cancer.gov/protocolDevelopment/electronic_applications/ctc.htm,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0459,肿瘤学、放疗与姑息医学,AJCC TNM分期框架,AJCC TNM Staging,AJCC Cancer Staging,https://www.facs.org/quality-programs/cancer-programs/american-joint-committee-on-cancer/,not_formula_staging_or_subscription,"Cancer staging/risk-group entries are structured staging systems or subscription/licensed guideline content; need site-specific TNM/risk tables and version governance, not a simple formula.",requires licensed/versioned staging tables; do not infer from summaries,pending_formula_or_rule_implementation,staging_or_subscription,versioned staging tables/rules or licensed system details,markdown_or_data_table_until_source_complete
CALC-0460,肿瘤学、放疗与姑息医学,乳腺癌预后分期,Breast Cancer Prognostic Stage,AJCC Cancer Staging,https://www.facs.org/quality-programs/cancer-programs/american-joint-committee-on-cancer/,not_formula_staging_or_subscription,"Cancer staging/risk-group entries are structured staging systems or subscription/licensed guideline content; need site-specific TNM/risk tables and version governance, not a simple formula.",requires licensed/versioned staging tables; do not infer from summaries,pending_formula_or_rule_implementation,staging_or_subscription,versioned staging tables/rules or licensed system details,markdown_or_data_table_until_source_complete
CALC-0461,肿瘤学、放疗与姑息医学,肺癌TNM分期,Lung Cancer TNM Stage,AJCC Cancer Staging,https://www.facs.org/quality-programs/cancer-programs/american-joint-committee-on-cancer/,not_formula_staging_or_subscription,"Cancer staging/risk-group entries are structured staging systems or subscription/licensed guideline content; need site-specific TNM/risk tables and version governance, not a simple formula.",requires licensed/versioned staging tables; do not infer from summaries,pending_formula_or_rule_implementation,staging_or_subscription,versioned staging tables/rules or licensed system details,markdown_or_data_table_until_source_complete
CALC-0462,肿瘤学、放疗与姑息医学,结直肠癌TNM分期,Colorectal Cancer TNM Stage,AJCC Cancer Staging,https://www.facs.org/quality-programs/cancer-programs/american-joint-committee-on-cancer/,not_formula_staging_or_subscription,"Cancer staging/risk-group entries are structured staging systems or subscription/licensed guideline content; need site-specific TNM/risk tables and version governance, not a simple formula.",requires licensed/versioned staging tables; do not infer from summaries,pending_formula_or_rule_implementation,staging_or_subscription,versioned staging tables/rules or licensed system details,markdown_or_data_table_until_source_complete
CALC-0465,肿瘤学、放疗与姑息医学,癌症治疗相关老年毒性风险,CARG Chemotherapy Toxicity Score,Cancer and Aging Research Group,https://www.mycarg.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0469,移植医学,肾移植候选人预期移植后生存评分,"Estimated Post-Transplant Survival, EPTS",OPTN calculators,https://optn.transplant.hrsa.gov/data/allocation-calculators/,possible_but_model_needs_coefficients,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",find original model coefficients/caps/examples or official implementation before coding,pending_formula_or_rule_implementation,model_coefficients_needed,"complete coefficients, transformations, caps, and validation examples",markdown_or_data_table_until_source_complete
CALC-0470,移植医学,肾供体概况指数,"Kidney Donor Profile Index, KDPI",OPTN KDPI,https://optn.transplant.hrsa.gov/data/allocation-calculators/,possible_but_model_needs_coefficients,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",find original model coefficients/caps/examples or official implementation before coding,pending_formula_or_rule_implementation,model_coefficients_needed,"complete coefficients, transformations, caps, and validation examples",markdown_or_data_table_until_source_complete
CALC-0471,移植医学,计算群体反应抗体,"Calculated Panel Reactive Antibody, cPRA",OPTN cPRA,https://optn.transplant.hrsa.gov/data/allocation-calculators/,possible_but_model_needs_coefficients,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",find original model coefficients/caps/examples or official implementation before coding,pending_formula_or_rule_implementation,model_coefficients_needed,"complete coefficients, transformations, caps, and validation examples",markdown_or_data_table_until_source_complete
CALC-0472,移植医学,肺移植综合分配评分,"Lung Composite Allocation Score, CAS",OPTN lung allocation,https://optn.transplant.hrsa.gov/,possible_but_model_needs_coefficients,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",find original model coefficients/caps/examples or official implementation before coding,pending_formula_or_rule_implementation,model_coefficients_needed,"complete coefficients, transformations, caps, and validation examples",markdown_or_data_table_until_source_complete
CALC-0473,移植医学,心脏移植医学紧急状态分级,Adult Heart Allocation Status,OPTN heart allocation,https://optn.transplant.hrsa.gov/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0475,移植医学,EBMT造血干细胞移植风险评分,EBMT Risk Score,EBMT risk score,https://www.ebmt.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0476,移植医学,慢性肺移植物功能障碍分级,Chronic Lung Allograft Dysfunction Grade,ISHLT guidelines,https://www.ishlt.org/ishlt/media/documents/Guidelines/Guidelines-For-Management-Of-CLAD.pdf,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0486,护理、安全与功能评估,ICU谵妄评估,CAM-ICU,ICU Delirium CAM-ICU,https://www.icudelirium.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0489,口腔、牙周与颌面医学,牙周炎分期分级,Periodontitis Stage and Grade,AAP/EFP classification,https://www.efp.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0490,口腔、牙周与颌面医学,牙周炎症表面积,"Periodontal Inflamed Surface Area, PISA",Periodontal Inflamed Surface Area,https://www.parsprototo.info/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0492,口腔、牙周与颌面医学,口腔健康影响程度14项,"Oral Health Impact Profile-14, OHIP-14",OHIP-14,https://www.adelaide.edu.au/arcpoh/ohip-14,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0494,放射影像与核医学,乳腺影像报告和数据系统,BI-RADS Category,ACR BI-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/Bi-Rads,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0495,放射影像与核医学,前列腺影像报告和数据系统,PI-RADS v2.1,ACR PI-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/PI-RADS,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0496,放射影像与核医学,甲状腺影像报告和数据系统,ACR TI-RADS,ACR TI-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/TI-RADS,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0497,放射影像与核医学,肺结节筛查报告系统,Lung-RADS,ACR Lung-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/Lung-Rads,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0498,放射影像与核医学,肝脏影像报告系统,LI-RADS,ACR LI-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/LI-RADS,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0499,放射影像与核医学,卵巢附件影像报告系统,O-RADS,ACR O-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/O-Rads,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0500,放射影像与核医学,冠状动脉钙化积分,Agatston Coronary Artery Calcium Score,SCCT CAC scoring,https://scct.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0507,儿科亚专科与新生儿,新生儿阿片戒断评分,Finnegan Neonatal Abstinence Score,QxMD Calculate,https://qxmd.com/calculate/,limited_by_questionnaire_rights,Full weighted item content is not safe to reproduce from an aggregator.,obtain a rights-cleared source and permission-safe input contract,pending_formula_or_rule_implementation,rights_limited_questionnaire,permission-safe coded inputs or licensing clearance,markdown_or_data_table_until_source_complete
CALC-0511,儿科亚专科与新生儿,儿童肝移植PELD补充分层,PELD Exception Support,OPTN PELD calculator,https://optn.transplant.hrsa.gov/data/allocation-calculators/peld-calculator/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0516,妇产高危与生殖医学,胎儿生长百分位,Fetal Growth Percentile,INTERGROWTH-21st,https://intergrowth21.tghn.org/,possible_but_requires_reference_tables,"Growth percentile calculators need LMS/reference tables by sex/age/measure; external data can fill them, but this is a data-table implementation rather than a compact formula.",download/encode official reference tables with tests,pending_formula_or_rule_implementation,reference_tables_needed,official reference tables or LMS parameters,markdown_or_data_table_until_source_complete
CALC-0521,妇产高危与生殖医学,早产风险fFN辅助解释,Fetal Fibronectin Risk Support,NICE preterm labour diagnostics,https://www.nice.org.uk/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0523,妇产高危与生殖医学,OHSS风险评分,Ovarian Hyperstimulation Syndrome Risk,ASRM committee documents,https://www.asrm.org/practice-guidance/practice-committee-documents/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0524,心衰、心电与血管医学,西雅图心衰模型,"Seattle Heart Failure Model, SHFM",Seattle Heart Failure Model,https://depts.washington.edu/shfm/,possible_but_model_needs_coefficients,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",find original model coefficients/caps/examples or official implementation before coding,pending_formula_or_rule_implementation,model_coefficients_needed,"complete coefficients, transformations, caps, and validation examples",markdown_or_data_table_until_source_complete
CALC-0526,心衰、心电与血管医学,MECKI心衰运动预后评分,MECKI Score,MECKI Score,https://www.cardiologicomonzino.it/en/mecki-score/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0535,心衰、心电与血管医学,WIfI保肢风险分级,Wound Ischemia and foot Infection Classification,SVS WIfI,https://vascular.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0555,肝衰竭、门脉高压与脂肪肝,VOCAL-Penn肝硬化围手术风险,VOCAL-Penn Cirrhosis Surgical Risk Score,VOCAL-Penn,https://www.vocalpennscore.com/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0563,肾脏AKI、透析充分性与结石,肾脏替代治疗启动风险提示,AKI Dialysis Risk Support,KDIGO AKI guideline,https://kdigo.org/guidelines/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0564,肾脏AKI、透析充分性与结石,标准化Kt/V透析充分性,Standard Kt/V,KDOQI hemodialysis adequacy guideline,https://www.kidney.org/professionals/guidelines,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0568,肾脏AKI、透析充分性与结石,Tiselius结石复发风险指数,Tiselius Stone Risk Index,QxMD Calculate,https://qxmd.com/calculate/,possible_but_model_needs_coefficients,Exact coefficients transforms units and calibration examples are required.,obtain and validate the source model,pending_formula_or_rule_implementation,model_coefficients_needed,complete coefficients transformations units and validation examples,markdown_or_data_table_until_source_complete
CALC-0572,感染、HIV/TB与抗菌药管理,VACS HIV死亡风险指数,"Veterans Aging Cohort Study Index, VACS Index",VACS Index,https://vacs.med.yale.edu/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0573,感染、HIV/TB与抗菌药管理,HIV暴露后PEP适应证辅助,HIV Post-Exposure Prophylaxis Support,CDC HIV PEP guidance,https://www.cdc.gov/hivnexus/hcp/pep/index.html,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0574,感染、HIV/TB与抗菌药管理,HIV PrEP适应证筛查,HIV PrEP Eligibility Support,CDC HIV PrEP guidance,https://www.cdc.gov/hivnexus/hcp/prep/index.html,not_formula_prevention_guideline,"Public-health screening or vaccine rows are eligibility/interval guidelines; implement as date/risk-factor rules after guideline-specific extraction, not as numeric formulas.",build eligibility/interval rule engine with guideline dates and exceptions,pending_formula_or_rule_implementation,prevention_guideline,age/risk eligibility logic and versioned recommendation details,markdown_or_data_table_until_source_complete
CALC-0577,感染、HIV/TB与抗菌药管理,肺结核治疗失败风险提示,Tuberculosis Treatment Risk Support,WHO tuberculosis guidelines,https://www.who.int/teams/global-tuberculosis-programme/guidelines,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0580,感染、HIV/TB与抗菌药管理,抗菌药肾功能剂量调整提示,Renal Antimicrobial Dose Adjustment,IDSA clinical practice guidelines,https://www.idsociety.org/practice-guideline/,not_single_formula_drug_rule,"Medication/TDM/pharmacogenomic rows require drug-specific label/guideline rules, target ranges, patient context, and versioning; external sources can supply rules but not one universal formula.",requires drug-specific rule engine and guideline/version governance,pending_formula_or_rule_implementation,drug_rule,"drug-specific dosing/TDM rules, monitoring conditions, and safety constraints",markdown_or_data_table_until_source_complete
CALC-0581,感染、HIV/TB与抗菌药管理,氨基糖苷Hartford间隔列线图,Hartford Aminoglycoside Nomogram,QxMD Calculate,https://qxmd.com/calculate/,possible_but_requires_chart_digitization,Nomogram requires curve/table digitization or authoritative formula; external source is not enough unless numeric thresholds are available.,find numeric table/formula; otherwise leave as non-executable,pending_formula_or_rule_implementation,chart_digitization_needed,digitized nomogram/chart data and validation examples,markdown_or_data_table_until_source_complete
CALC-0582,感染、HIV/TB与抗菌药管理,β内酰胺过敏风险分层,Beta-lactam Allergy Risk Stratification,AAAAI drug allergy resources,https://www.aaaai.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0584,急诊毒理、环境与高压氧医学,水杨酸中毒严重度解释,Salicylate Toxicity Interpretation,MDCalc calculator library,https://www.mdcalc.com/,not_single_formula_drug_rule,Interpretation requires exposure pattern symptoms serial levels acid-base status renal function and treatment guidance.,retain as versioned toxicology guidance,pending_formula_or_rule_implementation,drug_rule,versioned toxicology management rules serial monitoring and safety constraints,markdown_or_data_table_until_source_complete
