id,专业类别,亚专科,疾病/场景,中文名称,英文名称,输入,输出,量表/方程,评分解读,用途,来源类型,来源/指南,来源链接,获取渠道,真实性层级,常用程度,覆盖说明,临床使用说明,版本/年份,条目来源,来源分组,备注
CALC-0011,急诊与重症医学,,心输出量,心输出量,Cardiac Output,"Hgb,O2vSat,PaO2",CvO2,CvO2 = ( Hgb * 13.4 * O2vSat / 100 ) + ( PvO2 * 0.031 ),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0012,急诊与重症医学,,心输出量,心输出量,Cardiac Output,"O2消耗量,CaO2,CvO2",CO,CO = O2消耗量 / (CaO2 - CvO2),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0013,急诊与重症医学,,心输出量Multicalc,心输出量Multicalc,Cardiac Output Multicalc,"心输出量,体表面积",心脏指数,心脏指数 = 心输出量 / 体表面积,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,公式计算/生理指标,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0014,急诊与重症医学,,心输出量Multicalc,心输出量Multicalc,Cardiac Output Multicalc,"心输出量,心率",每搏输出量,每搏输出量 = 1000 * 心输出量 / 心率,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0015,急诊与重症医学,,心输出量Multicalc,心输出量Multicalc,Cardiac Output Multicalc,"每搏输出量,体表面积",每搏输出量指数,每搏输出量指数 = 每搏输出量 / 体表面积,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,公式计算/生理指标,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0016,急诊与重症医学,,心输出量Multicalc,心输出量Multicalc,Cardiac Output Multicalc,"耗氧量,动脉氧含量,静脉氧含量",心输出量,心输出量 = 耗氧量 / (动脉氧含量 - 静脉氧含量),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0017,急诊与重症医学,,心输出量Multicalc,心输出量Multicalc,Cardiac Output Multicalc,"身高,体重",体表面积,体表面积 = 0.007184 * 身高^0.725 * 体重^0.425,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0018,急诊与重症医学,,理想体重,理想体重,Ideal Body Weight,"身高,性别",理想体重,理想体重=身高^2*性别,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,官方指南/专业协会,CDC BMI calculators,https://www.cdc.gov/bmi/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,外部来源验证,,"男性理想体重以 23 的身体质量指数为准，
女性理想体重以 21.5 的身体质量指数为准。"
CALC-0019,急诊与重症医学,,APACHE II评分,APACHE II评分,Acute Physiology and Chronic Health Evaluation II,年龄；体温、平均动脉压、心率、呼吸频率、氧合、pH/HCO3、钠、钾、肌酐、血细胞比容、白细胞、GCS；慢性健康状态,APACHE II总分；预测院内死亡风险,急性生理评分 + 年龄评分 + 慢性健康评分,分值越高，死亡风险越高；常用于ICU病情严重度分层,风险预测/预后评估,网络补充,MDCalc calculator library,https://www.mdcalc.com/,外部来源公式级核对并接入Python实现,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)；Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0020,急诊与重症医学,,HEART胸痛评分,HEART胸痛评分,HEART Score,病史、心电图、年龄、危险因素、肌钙蛋白,主要心脏不良事件风险分层,History + ECG + Age + Risk factors + Troponin,0-3低危；4-6中危；7-10高危,风险预测/预后评估,网络补充,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)
CALC-0021,急诊与重症医学,,NEWS2早期预警评分,NEWS2早期预警评分,National Early Warning Score 2,呼吸频率、SpO2、吸氧、收缩压、脉搏、意识/新发意识混乱、体温,NEWS2总分,各参数0-3分加总；高危单项3分需升级处理,0-4低风险；5-6中风险；>=7高风险,临床评分/决策支持,网络补充,Royal College of Physicians NEWS2,https://www.rcp.ac.uk/improving-care/resources/national-early-warning-score-news-2/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v1网络补充,,[Royal College of Physicians NEWS2](https://www.rcp.ac.uk/improving-care/resources/national-early-warning-score-news-2/)
CALC-0022,急诊与重症医学,,NEXUS颈椎影像规则,NEXUS颈椎影像规则,NEXUS C-Spine Criteria,中线压痛、意识、醉酒、中枢神经缺损、分散性损伤,是否可不做颈椎影像,5项均阴性提示低风险,用于钝性创伤颈椎影像决策辅助,风险预测/预后评估,网络补充,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)
CALC-0023,急诊与重症医学,,PERC肺栓塞排除规则,PERC肺栓塞排除规则,Pulmonary Embolism Rule-out Criteria,年龄、心率、SpO2、咯血、雌激素、既往VTE、近期手术/外伤、单侧腿肿,是否满足PERC阴性,低临床概率患者8项均阴性可考虑排除PE,仅适用于低预检概率患者,诊断/分类辅助,网络补充,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)
CALC-0024,急诊与重症医学,,SIRS标准,SIRS标准,Systemic Inflammatory Response Syndrome Criteria,体温、心率、呼吸频率或PaCO2、白细胞计数/幼稚细胞比例,SIRS阳性条目数,满足4项中>=2项为SIRS,提示全身炎症反应，不能单独诊断感染或脓毒症,临床评分/决策支持,网络补充,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)
CALC-0025,急诊与重症医学,,休克指数,休克指数,Shock Index,心率、收缩压,心率/收缩压,Shock Index = HR / SBP,约0.5-0.7常见；升高提示循环风险，需要结合场景判断,公式计算/生理指标,网络补充,Merck Manual clinical calculators,https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[Merck Manual clinical calculators](https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators)
CALC-0026,急诊与重症医学,,加拿大头颅CT规则,加拿大头颅CT规则,Canadian CT Head Rule,GCS、疑似颅骨骨折、呕吐、年龄、遗忘、危险机制等,头部CT指征,高危/中危条目判断,用于轻型头外伤成人；不适用抗凝等排除人群,临床评分/决策支持,网络补充,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)
CALC-0027,心血管医学,,EuroSCORE评分心脏手术风险评估（附加版）,EuroSCORE评分心脏手术风险评估（附加版）,Additive EuroSCORE for Cardiac Operative Risk,量表条目；临床表现；体征或检查结果,EuroSCORE评分心脏手术风险评估（附加版）总分或风险分层,"年龄
<60 (0 分)
60-64（1 分）
65-69（2 分）
70-74（3 分）
75-79（4 分）
80-84（5 分）
85-89（6 分）
90-94（7 分）
95-100（8 分）
性别
女性 (1 分)
男性 (0 分)
射血分数
30-50% (1 分)
<30% (3 分)
肾功能不全 (2 分)
外周血管病 (2 分)
呼吸系统病变 (1 分)
脑血管疾病 (2 分)
先前的心脏手术 (3 分)
活动性心内膜炎 (3 分)
关键的术前状态 (3 分)
不稳定型心绞痛 (2 分)
最近的心肌梗死 (2 分)
肺动脉高压 (2 分)
紧急手术 (2 分)
除了孤立的冠状动脉搭桥术 (2 分)
室间隔破裂 (4 分)
胸主动脉手术 (3 分)","0 - 2 分值:	低风险
3 - 5 分值:	中风险
6 - 45 分值:	高风险",风险预测/预后评估,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,外部来源公式级核对并接入Python实现,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,外部来源验证,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0028,心血管医学,,MILBBB胸痛鉴别,MILBBB胸痛鉴别,Modified Sgarbossa Criteria for MI in LBBB,量表条目；临床表现；体征或检查结果,评分、分级或临床决策结果,"ST 段抬高 ≥1 mm，与 QRS 轴一致 (5 分)
在 V1、V2 或 V3 中，ST 段压低 ≥1 mm (3 分)
ST 段抬高 ≥5 mm，与 QRS 轴不一致 (2 分)","10 分值:	100% MI
8 分值:	92% MI
7 分值:	93% MI
5 分值:	88% MI
3 分值:	66% MI
2 分值:	50% MI
0 分值:	16% MI",临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0029,心血管医学,,MI溶栓治疗颅内出血风险,MI溶栓治疗颅内出血风险,Intracranial Hemorrhage Risk with Thrombolytic Therapy for MI,age_years; race_black; sex; prior_stroke; systolic_bp; weight_kg; inr; prothrombin_time_seconds; tpa_instead_other_thrombolytic,颅内出血风险评分和风险百分比,年龄>=75、黑人、女性、既往卒中、SBP>=160、低体重、INR>4或PT>24秒、使用tPA各1分。,0-1分0.69%；2分1.02%；3分1.63%；4分2.49%；5-8分4.11%。,风险预测/预后评估,心梗溶栓出血风险评分,Intracranial Bleeding Risk from Thrombolytic Therapy of MI,https://ebmcalc.com/IntracranialBleedingRiskThrombolytics.htm,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,高：对应专科真实临床常用或指南推荐,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,外部来源验证,,Python实现采用结构化风险因素输入。
CALC-0030,心血管医学,,PTCA死亡率预测,PTCA死亡率预测,PTCA Mortality Risk Prediction,cardiogenic_shock; chf_class_iii_iv; left_main_ptca; tachycardia; chronic_renal_insufficiency; age_years; lesion_type_b2_or_c; acute_mi; unstable_angina; stent_placed,PTCA死亡率风险评分和死亡率百分比,心源性休克+4、CHF III-IV+4、左主干PTCA+3、心动过速+2、慢性肾功能不全+2、年龄>=75 +2、B2/C病变+1、急性MI+1、不稳定心绞痛+1、支架置入-1。,按分值区间映射PTCA死亡率估计。,风险预测/预后评估,介入心脏病风险评分/医学计算器,MDCalc calculator library,https://www.mdcalc.com/,外部来源公式级核对并接入Python实现,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,外部来源验证,,Python实现采用结构化风险因素输入。
CALC-0031,心血管医学,,QT间期校正 (EKG),QT间期校正 (EKG),Corrected QT Interval,QT间期,校正QT间期,校正QT间期 = QT间期 / sqr(RR间期),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0032,心血管医学,,QT间期校正 (EKG),QT间期校正 (EKG),Corrected QT Interval,心率,RR间期,RR间期 = 60 / 心率,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0033,心血管医学,,Romhilt-Estes诊断左心室肥厚的标准,Romhilt-Estes诊断左心室肥厚的标准,Romhilt-Estes Criteria for Left Ventricular Hypertrophy,矢量；ST；T；向矢量；QRS；相反方向移动；无洋地黄；有洋地黄,"肢体导联最大R或S波≥ 20 mm；V1或V2导联的 S波≥30 mm；V5或V6导联的 R波≥ 30mm (3 分)
左心房受犯--V1 P 波末端偏离宽一格及深一格或以上 (3 分)
左侧轴偏离 - QRS 轴偏离－负 30 度或以上 (2 分)
QRS 持续时间≥0.09 s (1 分)
V5 及 V6 导联 类本位曲折≥0.05 s (1 分)
ST-T 段变化（“左心室劳损”","肢体导联最大R或S波≥ 20 mm；V1或V2导联的 S波≥30 mm；V5或V6导联的 R波≥ 30mm (3 分)
左心房受犯--V1 P 波末端偏离宽一格及深一格或以上 (3 分)
左侧轴偏离 - QRS 轴偏离－负 30 度或以上 (2 分)
QRS 持续时间≥0.09 s (1 分)
V5 及 V6 导联 类本位曲折≥0.05 s (1 分)
ST-T 段变化（“左心室劳损”= 矢量 ST-T 向矢量 QRS 相反方向移动）
无洋地黄 (3 分)
有洋地黄 (1 分)","5 - 13 分数:	存在左心室肥大(LVH)
4 分数:	可能存在左心室肥大(LVH)
0 - 3 分数:	不存在左心室肥大(LVH)",诊断/分类辅助,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0034,心血管医学,,ST段抬高型心肌梗死溶栓（TIMI）评分,ST段抬高型心肌梗死溶栓（TIMI）评分,TIMI Risk Score for STEMI,量表条目；临床表现；体征或检查结果,ST段抬高型心肌梗死溶栓（TIMI）评分总分或风险分层,"糖尿病、高血压病史或心绞痛病史 (1 分)
收缩压低于 100 mmHg (3 分)
心率高于 100 BPM (2 分)
Killip II-IV 级 (2 分)
体重低于 150 lb 或 67 千克 (1 分)
前导联 ST 升高或左侧 BBB (1 分)
治疗时间晚于 4 小时 (1 分)
年龄
75 周岁及以上 (3 分)
65-74 周岁 (2 分)
65 周岁以下 (0 分)","0 分数:	0.8%
1 分数:	1.6%
2 分数:	2.2%
3 分数:	4.4%
4 分数:	7.3%
5 分数:	12%
6 分数:	16%
7 分数:	23%
8 分数:	27%
9 - 14 分数:	36%",临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0035,心血管医学,,不稳定型心绞痛结局预测,不稳定型心绞痛结局预测,Unstable Angina Outcome Prediction,age_years; prior_cabg; aspirin_use; beta_blocker_use; st_depression,不稳定型心绞痛结局风险评分和风险百分比,年龄>65、既往CABG、阿司匹林使用、β受体阻滞剂使用、ST段压低各1分。,0-1分6.5%；2分14.6%；3分22.7%；4-5分37.1%。,临床评分/决策支持,急性冠脉综合征风险评分/医学计算器,MDCalc calculator library,https://www.mdcalc.com/,外部来源公式级核对并接入Python实现,B：临床计算器平台收录，需回源核公式,高：对应专科真实临床常用或指南推荐,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,外部来源验证,,Python实现采用结构化风险因素输入。
CALC-0036,心血管医学,,不稳定型心绞痛非ST段抬高型心肌梗死溶栓（TIMI）评分,不稳定型心绞痛非ST段抬高型心肌梗死溶栓（TIMI）评分,TIMI Risk Score for UA/NSTEMI,量表条目；临床表现；体征或检查结果,不稳定型心绞痛非ST段抬高型心肌梗死溶栓（TIMI）评分总分或风险分层,"年龄 ≥65 周岁 (1 分)
3 个及以上冠状动脉疾病（CAD ）风险因素 (1 分)
已知 CAD 并有大于 50% 狭窄 (1 分)
过去 7 日使用阿司匹林 (1 分)
过去 24 小时严重心绞痛 (1 分)
心脏标记物升高 (1 分)
ST 偏离大于 0.5mm (1 分)","0 - 1 分数:	3% ** 5%
2 分数:	3% ** 8%
3 分数:	5% ** 13%
4 分数:	7% ** 20%
5 分数:	12% ** 26%
6 - 7 分数:	19% ** 41%",风险预测/预后评估,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
