id,专业类别,亚专科,疾病/场景,中文名称,英文名称,输入,输出,量表/方程,评分解读,用途,来源类型,来源/指南,来源链接,获取渠道,真实性层级,常用程度,覆盖说明,临床使用说明,版本/年份,条目来源,来源分组,备注,剔除原因
EXCLUDED-0011,康复、儿科、老年与行为量表扩展,神经康复,痉挛,改良Ashworth肌张力评分,Modified Ashworth Scale,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0012,康复、儿科、老年与行为量表扩展,心肺康复,呼吸困难,Borg呼吸困难评分,Borg Dyspnea Scale,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0013,康复、儿科、老年与行为量表扩展,运动康复,运动强度,改良Borg运动强度评分,Modified Borg Rating of Perceived Exertion,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0014,康复、儿科、老年与行为量表扩展,儿科心脏,儿童心衰,NYHA-儿童Ross心衰分级,Ross Classification for Pediatric Heart Failure,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0015,康复、儿科、老年与行为量表扩展,儿科心脏,肺高压,儿童先心病肺血管阻力指数,Pediatric Pulmonary Vascular Resistance Index,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0016,康复、儿科、老年与行为量表扩展,胎儿超声,胎儿心脏,胎儿心胸面积比,Fetal Cardiothoracic Area Ratio,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0017,康复、儿科、老年与行为量表扩展,胎儿超声,胎儿生长受限,胎儿大脑胎盘比,"Cerebroplacental Ratio, CPR",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0018,康复、儿科、老年与行为量表扩展,胎儿超声,胎盘功能,脐动脉S/D比值解释,Umbilical Artery Systolic-Diastolic Ratio,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0019,康复、儿科、老年与行为量表扩展,卒中,后循环卒中,中脑导水管卒中评分,Posterior Circulation Stroke Prognosis Support,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0020,康复、儿科、老年与行为量表扩展,神经耳科,急性眩晕,HINTS眩晕中枢性鉴别,HINTS Exam for Acute Vestibular Syndrome,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0021,康复、儿科、老年与行为量表扩展,卒中,TIA,ABCD3-I短暂性脑缺血风险,ABCD3-I Score,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0022,康复、儿科、老年与行为量表扩展,卒中,卒中复发,Essen卒中复发风险评分,Essen Stroke Risk Score,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0023,康复、儿科、老年与行为量表扩展,老年康复,下肢功能,SPPB短体能表现测试,"Short Physical Performance Battery, SPPB",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0024,康复、儿科、老年与行为量表扩展,老年功能,IADL,Lawton工具性日常生活活动量表,Lawton Instrumental Activities of Daily Living,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0025,康复、儿科、老年与行为量表扩展,老年功能,ADL,Katz日常生活活动量表,Katz Index of Independence in Activities of Daily Living,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0026,康复、儿科、老年与行为量表扩展,老年营养,营养不良,MNA简版营养评估,"Mini Nutritional Assessment Short Form, MNA-SF",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0027,康复、儿科、老年与行为量表扩展,老年精神,谵妄,CAM-S谵妄严重度评分,"Confusion Assessment Method Severity, CAM-S",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0028,康复、儿科、老年与行为量表扩展,认知,痴呆筛查,RUDAS跨文化认知评估,Rowland Universal Dementia Assessment Scale,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0029,康复、儿科、老年与行为量表扩展,精神,抑郁,QIDS抑郁症状快速量表,"Quick Inventory of Depressive Symptomatology, QIDS",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0030,康复、儿科、老年与行为量表扩展,精神,双相障碍,HCL-32轻躁狂症状清单,"Hypomania Checklist-32, HCL-32",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0031,康复、儿科、老年与行为量表扩展,精神,PTSD,PCL-5创伤后应激量表,"PTSD Checklist for DSM-5, PCL-5",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0032,康复、儿科、老年与行为量表扩展,睡眠,失眠,ISI以外睡眠日记效率计算,Sleep Diary Sleep Efficiency,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0033,康复、儿科、老年与行为量表扩展,儿科疼痛,疼痛,儿童疼痛Wong-Baker脸谱评分,Wong-Baker FACES Pain Rating Scale,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0034,康复、儿科、老年与行为量表扩展,新生儿疼痛,疼痛,新生儿疼痛NIPS评分,"Neonatal Infant Pain Scale, NIPS",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0035,康复、儿科、老年与行为量表扩展,新生儿疼痛,疼痛,早产儿疼痛PIPP-R评分,"Premature Infant Pain Profile-Revised, PIPP-R",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0036,康复、儿科、老年与行为量表扩展,儿科ICU,镇静疼痛,儿童镇静COMFORT-B评分,COMFORT Behavior Scale,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
